date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2019-01-01,00,-6,2,0.0,21,1042,28
2019-01-01,03,-8,1,0.0,24,1041,17
2019-01-01,06,-9,2,0.0,27,1042,8
2019-01-01,09,-6,7,0.0,28,1042,5
2019-01-01,12,-0,15,0.0,20,1040,3
2019-01-01,15,-1,13,0.0,23,1040,6
2019-01-01,18,-3,6,0.0,25,1040,12
2019-01-01,21,-5,6,0.0,28,1040,7
2019-01-02,00,-6,5,0.0,30,1041,5
2019-01-02,03,-7,5,0.0,32,1040,6
2019-01-02,06,-9,5,0.0,31,1039,18
2019-01-02,09,-6,4,0.0,21,1038,47
2019-01-02,12,-0,4,0.0,20,1036,45
2019-01-02,15,-1,3,0.0,22,1036,48
2019-01-02,18,-3,2,0.0,27,1036,58
2019-01-02,21,-5,3,0.0,32,1036,89
2019-01-03,00,-5,4,0.0,33,1036,98
2019-01-03,03,-6,4,0.0,35,1035,21
2019-01-03,06,-5,3,0.0,37,1036,2
2019-01-03,09,-3,3,0.0,29,1035,0
2019-01-03,12,1,3,0.0,25,1033,2
2019-01-03,15,0,0,0.0,30,1034,22
2019-01-03,18,-1,1,0.0,32,1035,8
2019-01-03,21,-2,2,0.0,33,1036,12
2019-01-04,00,-4,5,0.0,34,1036,17
2019-01-04,03,-4,10,0.0,33,1037,11
2019-01-04,06,-5,13,0.0,26,1038,7
2019-01-04,09,-3,16,0.0,14,1038,10
2019-01-04,12,0,18,0.0,10,1036,2
2019-01-04,15,-0,13,0.0,11,1035,10
2019-01-04,18,-2,7,0.0,13,1036,33
2019-01-04,21,-5,6,0.0,17,1036,12
2019-01-05,00,-5,6,0.0,20,1036,2
2019-01-05,03,-7,7,0.0,21,1036,5
2019-01-05,06,-8,9,0.0,21,1036,12
2019-01-05,09,-5,10,0.0,15,1036,34
2019-01-05,12,0,10,0.0,11,1033,90
2019-01-05,15,-1,5,0.0,12,1033,100
2019-01-05,18,-2,3,0.0,13,1034,100
2019-01-05,21,-3,3,0.0,13,1034,91
2019-01-06,00,-4,3,0.0,16,1033,8
2019-01-06,03,-5,4,0.0,17,1033,6
2019-01-06,06,-6,3,0.0,19,1033,3
2019-01-06,09,-3,2,0.0,14,1032,3
2019-01-06,12,2,4,0.0,12,1030,4
2019-01-06,15,2,5,0.0,13,1030,4
2019-01-06,18,-1,3,0.0,17,1031,3
2019-01-06,21,-3,3,0.0,20,1033,39
2019-01-07,00,-6,4,0.0,24,1034,59
2019-01-07,03,-6,5,0.0,30,1034,6
2019-01-07,06,-7,8,0.0,34,1034,11
2019-01-07,09,-4,11,0.0,24,1034,57
2019-01-07,12,2,15,0.0,17,1033,79
2019-01-07,15,1,13,0.0,18,1033,46
2019-01-07,18,-1,7,0.0,21,1034,5
2019-01-07,21,-3,8,0.0,22,1036,2
2019-01-08,00,-4,12,0.0,24,1036,3
2019-01-08,03,-5,14,0.0,24,1037,0
2019-01-08,06,-5,13,0.0,26,1039,0
2019-01-08,09,-4,13,0.0,18,1041,0
2019-01-08,12,-0,15,0.0,14,1039,0
2019-01-08,15,2,12,0.0,15,1040,0
2019-01-08,18,-2,5,0.0,16,1040,6
2019-01-08,21,-5,2,0.0,18,1041,21
2019-01-09,00,-6,3,0.0,21,1040,82
2019-01-09,03,-5,2,0.0,22,1038,17
2019-01-09,06,-7,3,0.0,24,1037,44
2019-01-09,09,-4,5,0.0,19,1036,6
2019-01-09,12,1,10,0.0,14,1032,33
2019-01-09,15,0,9,0.0,16,1031,7
2019-01-09,18,-1,4,0.0,17,1030,8
2019-01-09,21,-2,3,0.0,19,1029,7
2019-01-10,00,-4,1,0.0,21,1029,7
2019-01-10,03,-5,1,0.0,23,1028,5
2019-01-10,06,-5,1,0.0,24,1029,0
2019-01-10,09,-3,3,0.0,18,1028,0
2019-01-10,12,3,4,0.0,17,1026,2
