date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2019-01-01,00,8,17,0.0,90,1026,100
2019-01-01,03,8,22,0.0,82,1022,100
2019-01-01,06,8,27,0.0,77,1019,100
2019-01-01,09,8,30,0.0,79,1016,100
2019-01-01,12,8,33,0.1,69,1015,100
2019-01-01,15,7,35,0.0,66,1013,100
2019-01-01,18,6,37,0.0,58,1013,99
2019-01-01,21,5,36,0.0,58,1013,100
2019-01-02,00,4,33,0.0,60,1015,78
2019-01-02,03,4,30,0.0,62,1016,60
2019-01-02,06,3,28,0.0,56,1018,96
2019-01-02,09,3,30,0.0,54,1021,99
2019-01-02,12,2,29,0.0,46,1024,66
2019-01-02,15,2,25,0.0,49,1027,25
2019-01-02,18,1,22,0.0,49,1029,4
2019-01-02,21,0,19,0.0,53,1031,0
2019-01-03,00,-0,17,0.0,59,1032,0
2019-01-03,03,0,18,0.0,68,1031,8
2019-01-03,06,1,20,0.0,70,1031,50
2019-01-03,09,2,21,0.0,65,1032,100
2019-01-03,12,3,18,0.0,65,1032,100
2019-01-03,15,2,14,0.0,67,1033,42
2019-01-03,18,0,12,0.0,73,1034,14
2019-01-03,21,-1,9,0.0,80,1034,24
2019-01-04,00,-1,7,0.0,81,1034,77
2019-01-04,03,0,9,0.0,80,1033,100
2019-01-04,06,0,13,0.0,84,1031,100
2019-01-04,09,1,17,0.0,85,1029,100
2019-01-04,12,3,19,0.1,88,1026,100
2019-01-04,15,3,18,0.2,87,1024,97
2019-01-04,18,3,16,0.0,89,1023,98
2019-01-04,21,4,15,0.0,92,1023,100
2019-01-05,00,5,18,0.0,93,1021,100
2019-01-05,03,5,20,0.0,93,1017,100
2019-01-05,06,6,19,0.0,93,1016,100
2019-01-05,09,6,18,0.0,89,1018,100
2019-01-05,12,6,18,0.0,83,1020,100
2019-01-05,15,6,15,0.0,88,1021,100
2019-01-05,18,5,12,0.0,88,1023,94
2019-01-05,21,4,8,0.0,78,1024,73
2019-01-06,00,3,7,0.0,83,1025,55
2019-01-06,03,1,9,0.0,90,1025,32
2019-01-06,06,0,9,0.0,90,1027,21
2019-01-06,09,1,9,0.0,85,1027,13
2019-01-06,12,2,8,0.0,74,1028,31
2019-01-06,15,2,5,0.0,76,1028,68
2019-01-06,18,2,4,0.0,80,1029,86
2019-01-06,21,1,4,0.0,83,1029,66
2019-01-07,00,1,4,0.0,81,1029,100
2019-01-07,03,2,4,0.0,81,1029,91
2019-01-07,06,2,5,0.1,87,1028,100
2019-01-07,09,2,6,0.2,90,1028,100
2019-01-07,12,3,8,0.2,97,1027,100
2019-01-07,15,4,10,0.1,91,1024,93
2019-01-07,18,4,13,0.0,91,1022,100
2019-01-07,21,5,18,0.2,86,1017,100
2019-01-08,00,5,23,0.8,86,1012,100
2019-01-08,03,6,24,0.7,86,1008,100
2019-01-08,06,6,26,0.2,80,1003,100
2019-01-08,09,6,27,0.3,75,1000,100
2019-01-08,12,7,29,0.8,76,997,100
2019-01-08,15,6,30,0.5,78,996,100
2019-01-08,18,5,29,0.1,71,997,100
2019-01-08,21,4,28,0.1,76,998,100
2019-01-09,00,3,28,0.3,79,998,100
2019-01-09,03,3,26,0.5,81,1000,100
2019-01-09,06,3,27,0.5,80,1001,100
2019-01-09,09,2,27,0.6,82,1004,100
2019-01-09,12,3,27,0.2,81,1006,100
2019-01-09,15,3,27,0.0,82,1009,100
2019-01-09,18,4,27,0.2,84,1012,100
2019-01-09,21,3,23,0.1,83,1015,100
2019-01-10,00,3,20,0.0,81,1017,100
