date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2019-01-01,00,22,18,0.0,70,1017,0
2019-01-01,03,22,15,0.0,67,1018,2
2019-01-01,06,23,14,0.0,62,1019,0
2019-01-01,09,24,16,0.0,55,1019,0
2019-01-01,12,25,18,0.0,57,1018,0
2019-01-01,15,25,20,0.0,59,1016,0
2019-01-01,18,23,19,0.0,64,1018,0
2019-01-01,21,23,18,0.0,68,1018,0
2019-01-02,00,22,17,0.0,69,1017,17
2019-01-02,03,22,15,0.0,72,1018,37
2019-01-02,06,24,14,0.0,69,1019,51
2019-01-02,09,25,15,0.0,62,1018,34
2019-01-02,12,26,17,0.0,61,1017,19
2019-01-02,15,26,18,0.0,59,1016,4
2019-01-02,18,25,17,0.0,71,1018,6
2019-01-02,21,23,17,0.0,73,1019,22
2019-01-03,00,23,15,0.0,73,1018,21
2019-01-03,03,23,12,0.0,74,1018,22
2019-01-03,06,23,10,0.0,68,1020,6
2019-01-03,09,25,11,0.0,58,1019,0
2019-01-03,12,26,15,0.0,62,1018,0
2019-01-03,15,25,19,0.0,66,1017,0
2019-01-03,18,24,19,0.0,74,1018,0
2019-01-03,21,24,17,0.0,76,1018,0
2019-01-04,00,23,14,0.0,76,1017,26
2019-01-04,03,23,12,0.0,75,1017,19
2019-01-04,06,23,11,0.0,69,1019,6
2019-01-04,09,25,15,0.0,61,1018,0
2019-01-04,12,26,17,0.0,64,1017,0
2019-01-04,15,25,19,0.0,68,1017,0
2019-01-04,18,25,18,0.0,78,1017,8
2019-01-04,21,24,16,0.0,78,1017,25
2019-01-05,00,23,15,0.0,77,1016,28
2019-01-05,03,23,13,0.0,79,1016,34
2019-01-05,06,24,13,0.0,72,1018,47
2019-01-05,09,25,14,0.0,65,1017,34
2019-01-05,12,25,16,0.0,67,1016,20
2019-01-05,15,25,18,0.0,68,1015,6
2019-01-05,18,25,18,0.0,74,1016,12
2019-01-05,21,23,17,0.0,78,1016,44
2019-01-06,00,23,14,0.0,77,1015,48
2019-01-06,03,22,12,0.0,78,1015,40
2019-01-06,06,24,10,0.0,71,1016,45
2019-01-06,09,26,13,0.0,63,1016,40
2019-01-06,12,26,15,0.0,61,1014,26
2019-01-06,15,26,18,0.0,60,1013,12
2019-01-06,18,25,17,0.0,72,1015,22
2019-01-06,21,24,15,0.0,75,1015,27
2019-01-07,00,23,13,0.0,77,1014,33
2019-01-07,03,23,11,0.0,79,1014,34
2019-01-07,06,24,12,0.0,75,1015,30
2019-01-07,09,25,15,0.0,66,1015,58
2019-01-07,12,26,17,0.0,68,1014,33
2019-01-07,15,25,18,0.0,71,1012,9
2019-01-07,18,24,18,0.0,76,1014,0
2019-01-07,21,23,15,0.0,80,1014,1
2019-01-08,00,23,12,0.0,80,1014,2
2019-01-08,03,22,9,0.0,81,1014,0
2019-01-08,06,24,9,0.0,75,1015,0
2019-01-08,09,24,13,0.0,61,1015,0
2019-01-08,12,26,15,0.0,62,1014,0
2019-01-08,15,25,17,0.0,62,1012,0
2019-01-08,18,24,16,0.0,70,1014,0
2019-01-08,21,23,13,0.0,72,1014,0
2019-01-09,00,24,9,0.0,71,1014,0
2019-01-09,03,23,5,0.0,69,1014,0
2019-01-09,06,23,4,0.0,65,1015,0
2019-01-09,09,24,8,0.0,55,1016,0
2019-01-09,12,26,11,0.0,58,1014,0
2019-01-09,15,26,14,0.0,62,1013,0
2019-01-09,18,24,14,0.0,68,1014,0
2019-01-09,21,24,13,0.0,71,1015,0
2019-01-10,00,23,11,0.0,75,1013,7
2019-01-10,03,23,8,0.0,76,1014,26
2019-01-10,06,24,6,0.0,71,1015,29
2019-01-10,09,25,10,0.0,63,1016,17
2019-01-10,12,26,14,0.0,67,1014,15
2019-01-10,15,25,17,0.0,71,1013,13
2019-01-10,18,25,16,0.0,77,1014,18
2019-01-10,21,24,15,0.0,78,1015,54
2019-01-11,00,23,14,0.0,77,1014,65
2019-01-11,03,23,12,0.0,76,1015,59
2019-01-11,06,25,11,0.0,70,1016,51
2019-01-11,09,25,13,0.0,62,1016,20
2019-01-11,12,26,15,0.0,66,1015,16
2019-01-11,15,25,18,0.0,70,1014,11
2019-01-11,18,24,17,0.0,77,1015,10
2019-01-11,21,24,16,0.0,79,1016,22
2019-01-12,00,23,15,0.0,77,1015,8
2019-01-12,03,23,13,0.0,78,1015,15
2019-01-12,06,24,12,0.0,71,1016,20
2019-01-12,09,25,14,0.0,63,1016,2
2019-01-12,12,26,16,0.0,66,1015,1
2019-01-12,15,25,18,0.0,69,1014,0
2019-01-12,18,24,17,0.0,75,1015,6
2019-01-12,21,23,15,0.0,77,1016,51
2019-01-13,00,23,14,0.0,77,1015,51
2019-01-13,03,23,13,0.0,78,1015,46
2019-01-13,06,24,13,0.0,70,1016,68
2019-01-13,09,26,14,0.0,64,1016,40
2019-01-13,12,26,16,0.0,66,1015,21
2019-01-13,15,25,18,0.0,69,1013,2
2019-01-13,18,24,17,0.0,74,1014,0
2019-01-13,21,23,15,0.0,75,1015,0
2019-01-14,00,23,15,0.0,76,1014,4
2019-01-14,03,22,14,0.0,77,1014,13
2019-01-14,06,24,13,0.0,72,1015,22
2019-01-14,09,25,15,0.0,62,1015,2
2019-01-14,12,25,17,0.0,64,1014,2
2019-01-14,15,25,19,0.0,67,1013,2
2019-01-14,18,24,18,0.0,73,1014,2
2019-01-14,21,23,15,0.0,76,1015,15
2019-01-15,00,23,12,0.0,75,1014,7
2019-01-15,03,22,9,0.0,76,1014,2
2019-01-15,06,24,10,0.0,73,1016,13
2019-01-15,09,24,17,0.0,64,1016,3
2019-01-15,12,26,19,0.0,67,1015,2
2019-01-15,15,25,21,0.0,70,1014,0
2019-01-15,18,24,18,0.0,79,1015,9
2019-01-15,21,24,16,0.0,82,1015,27
2019-01-16,00,23,13,0.0,82,1015,31
2019-01-16,03,23,9,0.0,80,1015,27
2019-01-16,06,23,6,0.0,73,1016,3
2019-01-16,09,25,9,0.0,61,1016,0
2019-01-16,12,26,13,0.0,65,1014,0
2019-01-16,15,25,18,0.0,69,1013,0
2019-01-16,18,24,17,0.0,75,1015,0
2019-01-16,21,24,15,0.0,78,1015,10
2019-01-17,00,23,14,0.0,78,1014,7
2019-01-17,03,23,13,0.0,80,1013,17
2019-01-17,06,24,10,0.0,74,1015,33
2019-01-17,09,25,11,0.2,68,1015,72
2019-01-17,12,26,14,0.0,68,1013,17
2019-01-17,15,26,16,0.0,68,1012,9
2019-01-17,18,24,15,0.0,74,1014,13
2019-01-17,21,24,13,0.0,75,1014,22
2019-01-18,00,23,12,0.0,74,1013,15
2019-01-18,03,23,9,0.0,75,1013,11
2019-01-18,06,23,8,0.0,69,1015,25
2019-01-18,09,25,12,0.0,59,1015,8
2019-01-18,12,26,14,0.0,63,1014,5
2019-01-18,15,25,17,0.0,67,1013,1
2019-01-18,18,24,16,0.0,72,1014,9
2019-01-18,21,24,14,0.0,74,1015,13
2019-01-19,00,23,12,0.0,74,1014,13
2019-01-19,03,23,9,0.0,75,1014,9
2019-01-19,06,23,8,0.0,69,1015,6
2019-01-19,09,25,12,0.0,59,1015,0
2019-01-19,12,26,16,0.0,63,1014,0
2019-01-19,15,25,21,0.0,67,1013,0
2019-01-19,18,24,20,0.0,74,1015,2
2019-01-19,21,24,18,0.0,75,1016,22
2019-01-20,00,23,13,0.0,76,1016,24
2019-01-20,03,23,8,0.0,76,1016,7
2019-01-20,06,23,5,0.0,69,1017,0
2019-01-20,09,25,10,0.0,58,1017,0
2019-01-20,12,26,14,0.0,62,1016,0
2019-01-20,15,25,17,0.0,66,1014,0
2019-01-20,18,24,17,0.0,75,1016,0
2019-01-20,21,23,16,0.0,78,1016,9
2019-01-21,00,23,13,0.0,77,1015,6
2019-01-21,03,23,9,0.0,76,1015,4
2019-01-21,06,23,7,0.0,70,1016,4
2019-01-21,09,25,9,0.0,58,1016,0
2019-01-21,12,26,12,0.0,62,1015,0
2019-01-21,15,25,15,0.0,65,1013,0
2019-01-21,18,24,14,0.0,73,1015,0
