date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2019-01-01,00,21,11,0.0,31,1020,0
2019-01-01,03,19,8,0.0,37,1020,0
2019-01-01,06,19,10,0.0,44,1021,0
2019-01-01,09,22,5,0.0,35,1020,0
2019-01-01,12,26,12,0.0,42,1019,0
2019-01-01,15,25,19,0.0,49,1018,0
2019-01-01,18,23,18,0.0,67,1019,0
2019-01-01,21,21,14,0.0,76,1019,0
2019-01-02,00,21,15,0.0,81,1018,0
2019-01-02,03,21,15,0.0,84,1018,0
2019-01-02,06,20,13,0.0,75,1020,0
2019-01-02,09,23,9,0.0,41,1020,0
2019-01-02,12,28,6,0.0,35,1019,0
2019-01-02,15,31,3,0.0,29,1018,0
2019-01-02,18,27,3,0.0,37,1019,0
2019-01-02,21,24,8,0.0,34,1020,0
2019-01-03,00,23,12,0.0,39,1020,1
2019-01-03,03,20,15,0.0,36,1020,8
2019-01-03,06,19,14,0.0,35,1021,16
2019-01-03,09,22,8,0.0,26,1022,16
2019-01-03,12,27,7,0.0,28,1020,12
2019-01-03,15,28,6,0.0,29,1019,8
2019-01-03,18,25,11,0.0,44,1020,10
2019-01-03,21,23,10,0.0,51,1019,14
2019-01-04,00,20,6,0.0,47,1019,14
2019-01-04,03,19,7,0.0,50,1018,15
2019-01-04,06,18,6,0.0,40,1020,16
2019-01-04,09,21,3,0.0,34,1019,29
2019-01-04,12,25,10,0.0,40,1018,55
2019-01-04,15,25,17,0.0,46,1016,80
2019-01-04,18,23,18,0.0,65,1017,82
2019-01-04,21,22,17,0.0,76,1017,29
2019-01-05,00,22,17,0.0,82,1017,29
2019-01-05,03,21,16,0.0,86,1016,14
2019-01-05,06,22,14,0.0,88,1017,6
2019-01-05,09,23,12,0.0,56,1017,0
2019-01-05,12,26,11,0.0,42,1016,0
2019-01-05,15,28,14,0.0,28,1015,0
2019-01-05,18,26,12,0.0,51,1016,0
2019-01-05,21,23,12,0.0,43,1017,0
2019-01-06,00,21,14,0.0,29,1018,0
2019-01-06,03,19,19,0.0,29,1018,0
2019-01-06,06,18,20,0.0,33,1020,0
2019-01-06,09,20,17,0.0,22,1020,0
2019-01-06,12,24,18,0.0,20,1019,0
2019-01-06,15,25,19,0.0,19,1018,0
2019-01-06,18,24,19,0.0,23,1019,0
2019-01-06,21,21,19,0.0,25,1019,0
2019-01-07,00,19,19,0.0,27,1020,2
2019-01-07,03,17,19,0.0,29,1019,4
2019-01-07,06,16,18,0.0,30,1020,4
2019-01-07,09,19,15,0.0,24,1021,7
2019-01-07,12,23,12,0.0,22,1019,5
2019-01-07,15,25,9,0.0,20,1018,3
2019-01-07,18,24,6,0.0,26,1019,0
2019-01-07,21,21,7,0.0,28,1019,0
2019-01-08,00,19,10,0.0,30,1019,0
2019-01-08,03,17,6,0.0,32,1019,0
2019-01-08,06,17,6,0.0,34,1019,0
2019-01-08,09,20,6,0.0,24,1019,0
2019-01-08,12,24,7,0.0,27,1018,0
2019-01-08,15,26,8,0.0,30,1016,0
2019-01-08,18,25,12,0.0,43,1018,0
