date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2019-01-01,00,16,9,0.0,47,1019,0
2019-01-01,03,15,10,0.0,51,1020,0
2019-01-01,06,15,10,0.0,44,1021,0
2019-01-01,09,22,13,0.0,32,1020,0
2019-01-01,12,25,12,0.0,35,1019,0
2019-01-01,15,25,11,0.0,38,1018,0
2019-01-01,18,21,8,0.0,43,1019,0
2019-01-01,21,18,8,0.0,46,1019,0
2019-01-02,00,16,9,0.0,49,1020,0
2019-01-02,03,15,10,0.0,54,1020,0
2019-01-02,06,16,9,0.0,47,1021,0
2019-01-02,09,23,10,0.0,33,1019,0
2019-01-02,12,25,10,0.0,33,1018,0
2019-01-02,15,26,9,0.0,32,1017,0
2019-01-02,18,21,7,0.0,44,1019,0
2019-01-02,21,19,5,0.0,46,1020,0
2019-01-03,00,17,4,0.0,48,1019,0
2019-01-03,03,16,5,0.0,50,1020,0
2019-01-03,06,16,5,0.0,41,1022,0
2019-01-03,09,24,8,0.0,29,1020,0
2019-01-03,12,25,10,0.0,32,1020,0
2019-01-03,15,25,12,0.0,35,1019,0
2019-01-03,18,22,8,0.0,40,1019,0
2019-01-03,21,19,6,0.0,42,1020,0
2019-01-04,00,17,8,0.0,48,1020,0
2019-01-04,03,14,9,0.0,52,1021,0
2019-01-04,06,16,8,0.0,44,1022,0
2019-01-04,09,23,8,0.0,29,1021,0
2019-01-04,12,25,10,0.0,32,1020,0
2019-01-04,15,24,12,0.0,36,1020,0
2019-01-04,18,20,9,0.0,37,1020,0
2019-01-04,21,18,9,0.0,39,1020,0
2019-01-05,00,16,9,0.0,44,1019,0
2019-01-05,03,14,10,0.0,47,1019,0
2019-01-05,06,15,10,0.0,46,1020,0
2019-01-05,09,23,12,0.0,35,1019,0
2019-01-05,12,24,12,0.0,37,1018,2
2019-01-05,15,23,13,0.0,39,1017,4
2019-01-05,18,20,9,0.0,47,1018,33
2019-01-05,21,17,8,0.0,51,1018,14
2019-01-06,00,15,8,0.0,53,1017,6
2019-01-06,03,14,8,0.0,56,1018,6
2019-01-06,06,16,9,0.0,47,1019,0
2019-01-06,09,23,11,0.0,36,1018,0
2019-01-06,12,27,10,0.0,35,1017,0
2019-01-06,15,26,8,0.0,35,1016,0
2019-01-06,18,22,7,0.0,47,1017,0
2019-01-06,21,19,7,0.0,51,1017,0
2019-01-07,00,18,7,0.0,50,1016,0
2019-01-07,03,16,7,0.0,53,1017,0
2019-01-07,06,17,8,0.0,46,1017,0
2019-01-07,09,24,10,0.0,32,1016,0
2019-01-07,12,27,9,0.0,34,1015,0
2019-01-07,15,27,9,0.0,37,1014,0
2019-01-07,18,23,7,0.0,41,1015,0
2019-01-07,21,20,6,0.0,44,1015,0
2019-01-08,00,17,6,0.0,47,1015,0
2019-01-08,03,15,7,0.0,57,1015,2
2019-01-08,06,17,10,0.0,46,1016,3
2019-01-08,09,24,10,0.0,30,1015,4
2019-01-08,12,26,11,0.0,34,1014,4
2019-01-08,15,25,11,0.0,38,1013,4
2019-01-08,18,22,5,0.0,45,1015,5
2019-01-08,21,19,3,0.0,49,1015,9
2019-01-09,00,17,7,0.0,55,1015,4
2019-01-09,03,16,9,0.0,61,1016,3
2019-01-09,06,18,8,0.0,52,1017,0
2019-01-09,09,24,7,0.0,39,1017,0
2019-01-09,12,26,8,0.0,40,1016,3
2019-01-09,15,24,9,0.0,41,1015,5
2019-01-09,18,23,9,0.0,49,1016,0
2019-01-09,21,21,6,0.0,52,1016,0
2019-01-10,00,20,6,0.0,52,1016,0
2019-01-10,03,16,9,0.0,58,1017,0
2019-01-10,06,17,7,0.0,47,1018,0
2019-01-10,09,24,8,0.0,36,1017,0
2019-01-10,12,26,9,0.0,37,1017,0
2019-01-10,15,25,9,0.0,38,1016,0
2019-01-10,18,22,8,0.0,43,1017,0
2019-01-10,21,19,7,0.0,45,1017,0
2019-01-11,00,17,7,0.0,54,1017,0
2019-01-11,03,15,7,0.0,58,1018,0
2019-01-11,06,16,8,0.0,49,1019,0
2019-01-11,09,23,10,0.0,34,1018,0
2019-01-11,12,25,11,0.0,36,1017,0
2019-01-11,15,25,12,0.0,38,1016,0
