date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2019-01-01,00,4,2,0.0,34,1031,0
2019-01-01,03,2,2,0.0,38,1031,0
2019-01-01,06,1,3,0.0,40,1031,0
2019-01-01,09,1,3,0.0,38,1032,0
2019-01-01,12,8,4,0.0,29,1032,0
2019-01-01,15,13,5,0.0,23,1030,0
2019-01-01,18,10,5,0.0,31,1031,0
2019-01-01,21,8,4,0.0,41,1032,0
2019-01-02,00,3,3,0.0,46,1032,0
2019-01-02,03,1,3,0.0,58,1032,0
2019-01-02,06,-0,3,0.0,68,1032,0
2019-01-02,09,-0,3,0.0,63,1032,0
2019-01-02,12,6,3,0.0,49,1031,0
2019-01-02,15,12,3,0.0,35,1029,0
2019-01-02,18,10,3,0.0,40,1028,2
2019-01-02,21,3,5,0.0,49,1029,5
2019-01-03,00,2,8,0.0,48,1029,8
2019-01-03,03,1,10,0.0,48,1030,6
2019-01-03,06,1,10,0.0,49,1029,6
2019-01-03,09,0,8,0.0,47,1030,13
2019-01-03,12,6,6,0.0,37,1029,63
2019-01-03,15,12,4,0.0,31,1027,49
2019-01-03,18,10,4,0.0,40,1028,19
2019-01-03,21,5,5,0.0,50,1029,22
2019-01-04,00,2,6,0.0,57,1030,12
2019-01-04,03,1,5,0.0,68,1030,7
2019-01-04,06,1,5,0.0,73,1030,15
2019-01-04,09,0,4,0.0,59,1031,16
2019-01-04,12,6,3,0.0,39,1030,5
2019-01-04,15,12,3,0.0,28,1029,0
2019-01-04,18,10,4,0.0,35,1030,0
2019-01-04,21,7,3,0.0,46,1032,3
2019-01-05,00,2,2,0.0,52,1034,7
2019-01-05,03,0,3,0.0,48,1034,4
2019-01-05,06,-0,4,0.0,42,1034,0
2019-01-05,09,-0,3,0.0,39,1035,1
2019-01-05,12,6,3,0.0,29,1034,2
2019-01-05,15,12,5,0.0,23,1032,2
2019-01-05,18,10,6,0.0,32,1033,1
2019-01-05,21,6,5,0.0,41,1034,0
2019-01-06,00,1,3,0.0,48,1034,0
2019-01-06,03,-0,3,0.0,48,1034,0
2019-01-06,06,-0,4,0.0,40,1034,0
2019-01-06,09,-1,4,0.0,35,1034,0
2019-01-06,12,6,4,0.0,27,1033,0
2019-01-06,15,13,4,0.0,22,1031,0
2019-01-06,18,9,5,0.0,28,1030,0
2019-01-06,21,2,8,0.0,37,1031,1
2019-01-07,00,0,9,0.0,38,1032,4
2019-01-07,03,-0,8,0.0,32,1032,4
2019-01-07,06,-1,7,0.0,29,1031,1
2019-01-07,09,-0,6,0.0,29,1031,0
2019-01-07,12,8,4,0.0,24,1030,0
2019-01-07,15,14,4,0.0,23,1029,0
2019-01-07,18,10,6,0.0,35,1030,0
2019-01-07,21,4,9,0.0,48,1032,0
2019-01-08,00,1,10,0.0,55,1033,2
2019-01-08,03,-0,9,0.0,60,1032,6
2019-01-08,06,-1,7,0.0,65,1032,5
2019-01-08,09,-0,5,0.0,58,1032,2
2019-01-08,12,7,3,0.0,41,1031,2
2019-01-08,15,12,4,0.0,29,1028,3
2019-01-08,18,10,5,0.0,36,1028,4
2019-01-08,21,4,6,0.0,49,1029,4
2019-01-09,00,2,6,0.0,58,1029,4
2019-01-09,03,1,7,0.0,70,1028,4
2019-01-09,06,0,7,0.0,80,1027,4
2019-01-09,09,1,5,0.0,78,1027,4
2019-01-09,12,7,5,0.0,61,1025,3
2019-01-09,15,11,8,0.0,46,1022,2
2019-01-09,18,10,12,0.0,52,1021,11
2019-01-09,21,7,11,0.0,64,1022,8
2019-01-10,00,4,9,0.0,71,1023,0
2019-01-10,03,3,7,0.0,77,1023,7
2019-01-10,06,1,8,0.0,80,1023,7
2019-01-10,09,2,8,0.0,71,1024,5
2019-01-10,12,5,10,0.0,50,1024,11
2019-01-10,15,9,13,0.0,36,1023,7
2019-01-10,18,7,15,0.0,41,1023,1
2019-01-10,21,4,15,0.0,54,1025,0
2019-01-11,00,1,12,0.0,57,1027,1
2019-01-11,03,0,10,0.0,54,1028,3
2019-01-11,06,-0,8,0.0,56,1028,4
2019-01-11,09,-1,7,0.0,55,1029,3
2019-01-11,12,4,7,0.0,44,1028,3
2019-01-11,15,8,9,0.0,36,1027,5
2019-01-11,18,6,10,0.0,44,1028,6
2019-01-11,21,3,9,0.0,61,1030,4
2019-01-12,00,1,7,0.0,73,1031,3
2019-01-12,03,-0,6,0.0,79,1032,6
2019-01-12,06,0,7,0.0,81,1032,14
2019-01-12,09,-1,7,0.0,73,1032,24
2019-01-12,12,5,6,0.0,57,1031,21
2019-01-12,15,10,5,0.0,45,1029,9
2019-01-12,18,9,4,0.0,54,1029,3
2019-01-12,21,4,5,0.0,69,1031,2
2019-01-13,00,2,6,0.0,78,1032,0
2019-01-13,03,0,5,0.0,81,1032,0
2019-01-13,06,-0,4,0.0,81,1032,1
