date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2019-01-01,00,8,5,0.0,84,1036,92
2019-01-01,03,8,5,0.0,84,1035,97
2019-01-01,06,7,7,0.0,86,1035,94
2019-01-01,09,7,8,0.0,87,1035,97
2019-01-01,12,9,9,0.0,78,1035,93
2019-01-01,15,9,10,0.0,80,1034,92
2019-01-01,18,8,10,0.0,89,1035,94
2019-01-01,21,8,12,0.0,93,1035,75
2019-01-02,00,8,12,0.0,77,1037,30
2019-01-02,03,5,11,0.0,78,1037,15
2019-01-02,06,4,10,0.0,80,1039,16
2019-01-02,09,5,9,0.0,75,1040,20
2019-01-02,12,6,10,0.0,64,1040,34
2019-01-02,15,7,11,0.0,62,1040,43
2019-01-02,18,6,10,0.0,74,1041,11
2019-01-02,21,4,9,0.0,79,1041,9
2019-01-03,00,4,8,0.0,82,1041,7
2019-01-03,03,2,6,0.0,84,1041,28
2019-01-03,06,2,5,0.0,86,1041,23
2019-01-03,09,2,5,0.0,81,1041,25
2019-01-03,12,6,7,0.0,66,1041,8
2019-01-03,15,7,10,0.0,64,1040,16
2019-01-03,18,5,9,0.0,76,1041,13
2019-01-03,21,4,8,0.0,84,1041,16
2019-01-04,00,3,7,0.0,89,1041,12
2019-01-04,03,2,6,0.0,91,1041,26
2019-01-04,06,0,6,0.0,92,1041,34
2019-01-04,09,1,6,0.0,89,1041,33
2019-01-04,12,5,7,0.0,75,1041,23
2019-01-04,15,5,7,0.0,75,1040,72
2019-01-04,18,4,6,0.0,81,1040,87
2019-01-04,21,4,7,0.0,79,1040,100
2019-01-05,00,3,6,0.0,85,1040,100
2019-01-05,03,2,6,0.0,81,1038,86
2019-01-05,06,3,9,0.0,85,1038,59
2019-01-05,09,4,10,0.0,85,1038,70
2019-01-05,12,6,10,0.0,77,1038,52
2019-01-05,15,6,11,0.0,74,1037,86
2019-01-05,18,5,9,0.0,79,1038,93
2019-01-05,21,5,7,0.0,78,1038,89
2019-01-06,00,4,6,0.0,78,1038,96
2019-01-06,03,4,7,0.0,77,1037,100
2019-01-06,06,4,6,0.0,79,1037,100
2019-01-06,09,4,6,0.0,77,1037,100
2019-01-06,12,5,6,0.0,81,1037,100
2019-01-06,15,6,6,0.0,86,1036,100
2019-01-06,18,5,5,0.3,91,1036,100
2019-01-06,21,6,5,0.0,93,1036,90
2019-01-07,00,6,6,0.0,95,1036,86
2019-01-07,03,5,6,0.0,91,1036,88
2019-01-07,06,5,4,0.0,90,1036,85
2019-01-07,09,4,5,0.0,88,1037,89
2019-01-07,12,6,6,0.0,88,1036,100
2019-01-07,15,7,7,0.0,88,1034,88
2019-01-07,18,7,10,0.0,91,1033,100
2019-01-07,21,7,14,0.0,89,1032,100
2019-01-08,00,8,17,0.0,90,1030,100
2019-01-08,03,9,18,0.0,90,1027,98
