date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2019-01-01,00,26,2,0.0,87,1013,16
2019-01-01,03,25,7,0.0,84,1013,18
2019-01-01,06,25,6,0.0,82,1014,18
2019-01-01,09,30,4,0.0,66,1015,14
2019-01-01,12,33,9,0.0,58,1014,22
2019-01-01,15,29,18,0.2,70,1013,74
2019-01-01,18,29,8,0.0,74,1013,31
2019-01-01,21,27,4,0.0,82,1015,47
2019-01-02,00,26,3,0.0,85,1015,19
2019-01-02,03,26,4,0.0,85,1015,18
2019-01-02,06,26,4,0.0,76,1015,15
2019-01-02,09,30,3,0.0,64,1016,11
2019-01-02,12,33,8,0.0,55,1014,18
2019-01-02,15,31,16,1.5,66,1013,87
2019-01-02,18,29,12,0.0,75,1013,63
2019-01-02,21,28,5,0.0,79,1014,21
2019-01-03,00,28,5,0.0,78,1013,20
2019-01-03,03,27,5,0.0,77,1012,22
2019-01-03,06,27,8,0.0,75,1012,23
2019-01-03,09,32,9,0.0,61,1013,17
2019-01-03,12,36,2,0.0,50,1011,20
2019-01-03,15,35,16,0.0,55,1009,25
2019-01-03,18,31,9,0.0,66,1010,27
2019-01-03,21,30,4,0.0,70,1011,23
2019-01-04,00,28,8,0.0,70,1011,45
2019-01-04,03,28,10,0.0,73,1011,49
2019-01-04,06,27,11,0.0,76,1011,46
2019-01-04,09,31,10,0.0,66,1012,18
2019-01-04,12,34,13,0.0,50,1011,15
2019-01-04,15,32,16,0.0,58,1010,22
2019-01-04,18,30,7,0.3,72,1010,83
2019-01-04,21,29,5,0.4,76,1012,88
2019-01-05,00,27,8,0.0,76,1012,18
2019-01-05,03,27,8,0.0,77,1012,11
2019-01-05,06,27,6,0.4,80,1013,83
2019-01-05,09,29,7,0.0,69,1014,13
2019-01-05,12,32,10,0.0,60,1013,9
2019-01-05,15,29,16,3.2,67,1012,85
2019-01-05,18,27,9,0.0,84,1012,28
2019-01-05,21,27,5,1.2,84,1014,76
2019-01-06,00,26,5,0.0,84,1014,11
2019-01-06,03,25,5,0.0,83,1013,13
2019-01-06,06,26,6,0.0,72,1014,10
2019-01-06,09,32,4,0.0,61,1014,9
2019-01-06,12,34,9,0.0,51,1013,13
2019-01-06,15,31,15,0.0,60,1012,17
2019-01-06,18,29,18,0.0,75,1012,21
2019-01-06,21,28,3,0.0,80,1014,14
2019-01-07,00,28,5,0.0,79,1014,6
2019-01-07,03,27,4,0.0,79,1014,6
2019-01-07,06,26,8,0.0,75,1015,3
2019-01-07,09,31,8,0.0,62,1015,32
2019-01-07,12,36,6,0.0,48,1014,2
2019-01-07,15,35,14,0.0,51,1013,7
2019-01-07,18,33,16,0.0,62,1012,7
2019-01-07,21,30,8,0.0,69,1015,5
2019-01-08,00,28,7,0.0,72,1014,4
2019-01-08,03,27,6,0.0,75,1014,6
2019-01-08,06,28,6,0.0,76,1015,6
2019-01-08,09,32,5,0.0,61,1016,5
2019-01-08,12,36,10,0.0,50,1015,7
2019-01-08,15,35,14,0.0,56,1014,9
2019-01-08,18,32,12,0.0,65,1014,8
2019-01-08,21,30,5,0.0,73,1016,6
2019-01-09,00,30,3,0.0,78,1016,0
2019-01-09,03,28,8,0.0,79,1015,1
2019-01-09,06,27,8,0.0,78,1015,1
2019-01-09,09,31,3,0.0,63,1016,3
2019-01-09,12,33,11,0.0,55,1015,15
2019-01-09,15,32,17,0.0,51,1014,19
2019-01-09,18,30,22,0.0,60,1013,14
2019-01-09,21,27,22,0.0,67,1016,9
2019-01-10,00,26,17,0.0,72,1016,7
2019-01-10,03,25,10,0.0,74,1016,5
2019-01-10,06,24,6,0.0,74,1016,6
2019-01-10,09,30,9,0.0,60,1017,4
2019-01-10,12,33,11,0.0,49,1015,8
2019-01-10,15,34,16,0.0,53,1014,13
2019-01-10,18,31,25,0.0,66,1014,15
2019-01-10,21,27,19,0.0,72,1016,15
2019-01-11,00,27,10,0.0,75,1016,9
2019-01-11,03,26,6,0.0,78,1016,6
2019-01-11,06,25,6,0.0,77,1016,3
2019-01-11,09,33,4,0.0,65,1017,2
2019-01-11,12,33,11,0.0,51,1015,4
2019-01-11,15,33,18,0.0,57,1014,3
2019-01-11,18,30,16,0.0,69,1014,4
2019-01-11,21,28,9,0.0,78,1016,3
2019-01-12,00,27,8,0.0,79,1016,3
2019-01-12,03,27,5,0.0,79,1016,3
2019-01-12,06,26,5,0.0,79,1016,3
2019-01-12,09,31,1,0.0,64,1017,4
2019-01-12,12,32,15,0.0,57,1016,3
2019-01-12,15,32,20,0.0,62,1015,5
2019-01-12,18,29,15,0.0,70,1015,5
2019-01-12,21,27,12,0.0,79,1017,0
2019-01-13,00,26,13,0.0,81,1017,6
2019-01-13,03,25,8,0.0,81,1017,9
2019-01-13,06,26,6,0.0,80,1017,4
2019-01-13,09,32,5,0.0,59,1017,0
2019-01-13,12,32,12,0.0,52,1016,2
2019-01-13,15,33,19,0.0,55,1014,3
2019-01-13,18,30,24,0.0,68,1014,4
2019-01-13,21,27,17,0.0,76,1017,5
2019-01-14,00,26,13,0.0,79,1017,7
2019-01-14,03,26,8,0.0,79,1016,6
2019-01-14,06,26,5,0.0,79,1016,1
2019-01-14,09,30,3,0.0,63,1016,8
2019-01-14,12,33,12,0.0,53,1015,3
2019-01-14,15,34,18,0.0,57,1014,5
2019-01-14,18,31,23,0.0,69,1013,5
