date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2019-01-01,00,-4,3,0.0,22,1035,3
2019-01-01,03,-6,4,0.0,25,1035,66
2019-01-01,06,-6,4,0.0,29,1034,10
2019-01-01,09,-4,4,0.0,29,1033,1
2019-01-01,12,-2,9,0.0,31,1032,6
2019-01-01,15,-2,15,0.0,32,1031,10
2019-01-01,18,-2,14,0.0,33,1032,5
2019-01-01,21,-3,14,0.0,37,1032,0
2019-01-02,00,-4,10,0.0,35,1033,0
2019-01-02,03,-5,7,0.0,35,1034,0
2019-01-02,06,-6,5,0.0,38,1034,0
2019-01-02,09,-5,5,0.0,36,1035,0
2019-01-02,12,-1,7,0.0,27,1034,0
2019-01-02,15,1,8,0.0,19,1033,0
2019-01-02,18,-2,6,0.0,20,1033,2
2019-01-02,21,-4,5,0.0,25,1034,2
2019-01-03,00,-5,4,0.0,24,1034,3
2019-01-03,03,-5,4,0.0,28,1035,3
2019-01-03,06,-5,3,0.0,32,1035,0
2019-01-03,09,-5,2,0.0,29,1035,3
2019-01-03,12,-1,3,0.0,24,1035,9
2019-01-03,15,1,3,0.0,18,1034,16
2019-01-03,18,1,6,0.0,21,1034,0
2019-01-03,21,-1,1,0.0,22,1035,10
2019-01-04,00,-1,2,0.0,20,1035,5
2019-01-04,03,-3,3,0.0,19,1034,3
2019-01-04,06,-4,2,0.0,16,1034,3
2019-01-04,09,-4,2,0.0,15,1033,50
2019-01-04,12,1,3,0.0,27,1031,37
2019-01-04,15,3,4,0.0,39,1029,24
2019-01-04,18,0,4,0.0,56,1028,31
2019-01-04,21,-0,1,0.0,63,1028,29
2019-01-05,00,-2,8,0.0,63,1027,5
2019-01-05,03,-4,8,0.0,49,1027,12
2019-01-05,06,-4,7,0.0,39,1027,14
2019-01-05,09,-4,7,0.0,30,1028,5
2019-01-05,12,-1,9,0.0,23,1027,6
2019-01-05,15,-0,12,0.0,16,1027,7
2019-01-05,18,-1,8,0.0,19,1027,0
2019-01-05,21,-3,6,0.0,20,1028,3
2019-01-06,00,-4,4,0.0,18,1028,11
2019-01-06,03,-5,4,0.0,19,1028,73
2019-01-06,06,-4,4,0.0,20,1028,98
2019-01-06,09,-3,1,0.0,19,1029,96
2019-01-06,12,-0,3,0.0,20,1028,50
2019-01-06,15,2,5,0.0,21,1028,3
2019-01-06,18,-1,7,0.0,28,1029,6
2019-01-06,21,-1,2,0.0,26,1029,10
2019-01-07,00,-2,1,0.0,23,1029,6
2019-01-07,03,-3,3,0.0,26,1029,4
2019-01-07,06,-3,3,0.0,27,1029,2
2019-01-07,09,-4,3,0.0,27,1029,14
2019-01-07,12,-0,6,0.0,30,1029,22
2019-01-07,15,2,9,0.0,33,1028,30
2019-01-07,18,-1,7,0.0,32,1028,46
2019-01-07,21,-1,3,0.0,30,1028,46
2019-01-08,00,-3,5,0.0,28,1028,45
2019-01-08,03,-4,8,0.0,29,1028,12
2019-01-08,06,-4,9,0.0,34,1028,5
2019-01-08,09,-3,11,0.0,31,1028,2
2019-01-08,12,-1,16,0.0,26,1028,1
2019-01-08,15,-1,21,0.0,20,1028,0
2019-01-08,18,-2,23,0.0,28,1029,0
2019-01-08,21,-5,22,0.0,27,1030,3
2019-01-09,00,-5,17,0.0,25,1032,10
2019-01-09,03,-6,9,0.0,26,1034,22
2019-01-09,06,-6,4,0.0,25,1035,59
2019-01-09,09,-6,1,0.0,23,1036,89
2019-01-09,12,-3,2,0.0,18,1034,50
2019-01-09,15,-1,3,0.0,14,1033,12
2019-01-09,18,-2,3,0.0,13,1031,65
2019-01-09,21,-2,1,0.0,14,1030,72
2019-01-10,00,-3,2,0.0,16,1030,31
2019-01-10,03,-2,2,0.0,20,1028,97
2019-01-10,06,-3,1,0.0,21,1027,64
2019-01-10,09,-2,1,0.0,21,1027,45
2019-01-10,12,0,5,0.0,36,1025,42
2019-01-10,15,2,11,0.0,51,1024,38
2019-01-10,18,0,5,0.0,60,1025,18
2019-01-10,21,-1,5,0.0,64,1026,25
2019-01-11,00,0,1,0.0,68,1026,5
2019-01-11,03,-0,0,0.0,71,1027,5
2019-01-11,06,-2,3,0.0,74,1027,23
2019-01-11,09,-1,4,0.0,70,1027,52
2019-01-11,12,3,2,0.0,58,1026,28
2019-01-11,15,6,1,0.0,46,1025,3
2019-01-11,18,2,2,0.0,57,1025,35
2019-01-11,21,1,4,0.0,57,1025,2
2019-01-12,00,0,4,0.0,55,1024,9
2019-01-12,03,-0,2,0.0,54,1023,49
2019-01-12,06,1,3,0.0,53,1023,65
2019-01-12,09,1,3,0.0,51,1023,76
2019-01-12,12,5,5,0.0,45,1023,54
2019-01-12,15,6,6,0.0,39,1022,33
2019-01-12,18,3,5,0.0,48,1024,21
2019-01-12,21,2,4,0.0,53,1024,2
2019-01-13,00,2,3,0.0,48,1025,0
2019-01-13,03,1,4,0.0,49,1026,0
2019-01-13,06,-0,3,0.0,48,1026,0
2019-01-13,09,1,2,0.0,46,1026,0
2019-01-13,12,5,3,0.0,37,1025,1
2019-01-13,15,7,4,0.0,28,1025,2
2019-01-13,18,3,7,0.0,32,1026,3
2019-01-13,21,1,3,0.0,37,1026,2
2019-01-14,00,1,3,0.0,45,1027,0
2019-01-14,03,1,3,0.0,49,1027,0
2019-01-14,06,-0,2,0.0,54,1027,0
2019-01-14,09,-0,3,0.0,54,1027,6
2019-01-14,12,4,3,0.0,51,1026,9
2019-01-14,15,5,3,0.0,48,1025,12
2019-01-14,18,2,6,0.0,59,1025,44
2019-01-14,21,1,2,0.0,64,1025,50
2019-01-15,00,1,3,0.0,66,1024,96
2019-01-15,03,-0,2,0.0,73,1023,77
2019-01-15,06,-0,5,0.0,77,1023,2
2019-01-15,09,0,4,0.0,68,1022,18
2019-01-15,12,1,14,0.0,50,1022,9
2019-01-15,15,1,23,0.0,33,1023,0
2019-01-15,18,-2,20,0.0,33,1024,28
2019-01-15,21,-4,18,0.0,35,1025,48
2019-01-16,00,-5,14,0.0,32,1027,18
2019-01-16,03,-5,11,0.0,30,1027,17
2019-01-16,06,-6,7,0.0,27,1028,10
2019-01-16,09,-6,5,0.0,25,1028,79
2019-01-16,12,-4,8,0.0,22,1027,53
2019-01-16,15,-2,10,0.0,18,1026,27
2019-01-16,18,-2,6,0.0,29,1026,0
2019-01-16,21,-2,0,0.0,42,1025,85
2019-01-17,00,-2,4,0.0,55,1025,98
2019-01-17,03,-2,6,0.0,64,1023,90
2019-01-17,06,-2,7,0.0,67,1023,24
2019-01-17,09,-1,9,0.0,64,1023,0
2019-01-17,12,2,12,0.0,44,1023,0
2019-01-17,15,2,15,0.0,23,1023,0
2019-01-17,18,1,9,0.0,30,1024,0
2019-01-17,21,-1,8,0.0,34,1026,0
2019-01-18,00,-1,5,0.0,35,1027,0
2019-01-18,03,-0,3,0.0,36,1028,0
2019-01-18,06,-2,3,0.0,32,1028,4
2019-01-18,09,-2,1,0.0,27,1028,23
2019-01-18,12,2,2,0.0,27,1028,13
2019-01-18,15,6,7,0.0,26,1027,4
2019-01-18,18,2,4,0.0,31,1027,13
2019-01-18,21,1,5,0.0,35,1027,16
2019-01-19,00,-1,5,0.0,40,1027,32
2019-01-19,03,-2,4,0.0,44,1026,48
2019-01-19,06,-1,4,0.0,47,1026,54
2019-01-19,09,1,4,0.0,45,1026,80
2019-01-19,12,5,4,0.0,47,1024,50
2019-01-19,15,7,4,0.0,50,1022,21
2019-01-19,18,5,2,0.0,58,1021,2
2019-01-19,21,3,2,0.0,61,1020,25
2019-01-20,00,2,6,0.0,71,1019,63
2019-01-20,03,0,8,0.0,66,1019,41
2019-01-20,06,-0,12,0.0,45,1020,7
2019-01-20,09,-1,17,0.0,33,1021,0
2019-01-20,12,-0,19,0.0,26,1022,0
