date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2019-01-01,00,5,13,0.0,72,1038,83
2019-01-01,03,5,12,0.0,71,1038,64
2019-01-01,06,5,13,0.0,69,1038,27
2019-01-01,09,6,13,0.0,58,1038,5
2019-01-01,12,7,14,0.0,51,1037,4
2019-01-01,15,6,14,0.0,57,1037,18
2019-01-01,18,5,13,0.0,65,1037,61
2019-01-01,21,3,13,0.0,64,1038,46
2019-01-02,00,3,11,0.0,65,1037,82
2019-01-02,03,3,11,0.0,68,1037,72
2019-01-02,06,3,11,0.0,68,1037,55
2019-01-02,09,6,10,0.0,65,1037,72
2019-01-02,12,6,10,0.0,62,1035,63
2019-01-02,15,7,11,0.0,59,1035,75
2019-01-02,18,7,10,0.0,60,1035,100
2019-01-02,21,6,9,0.0,66,1035,100
2019-01-03,00,5,8,0.0,68,1034,100
2019-01-03,03,5,8,0.0,67,1034,99
2019-01-03,06,6,9,0.0,69,1035,96
2019-01-03,09,8,10,0.0,63,1035,100
2019-01-03,12,9,11,0.0,67,1033,96
2019-01-03,15,9,12,0.0,73,1032,89
2019-01-03,18,9,12,0.0,77,1033,91
2019-01-03,21,10,13,0.0,77,1032,94
2019-01-04,00,10,13,0.0,80,1030,97
2019-01-04,03,10,13,0.0,85,1030,100
2019-01-04,06,11,12,0.5,89,1029,100
2019-01-04,09,11,10,0.9,93,1029,100
2019-01-04,12,11,6,1.0,95,1027,100
2019-01-04,15,10,6,0.3,92,1026,100
2019-01-04,18,9,9,0.2,91,1026,100
2019-01-04,21,9,12,0.4,91,1027,100
2019-01-05,00,9,12,0.0,90,1026,84
2019-01-05,03,8,13,0.1,88,1026,100
2019-01-05,06,8,14,0.0,86,1027,100
2019-01-05,09,10,12,0.0,82,1027,100
2019-01-05,12,10,9,0.0,82,1026,100
2019-01-05,15,10,10,0.0,83,1027,100
2019-01-05,18,10,9,0.0,84,1027,100
2019-01-05,21,9,6,0.3,84,1028,100
2019-01-06,00,9,4,0.0,84,1028,100
2019-01-06,03,8,7,0.0,85,1029,88
2019-01-06,06,8,10,0.0,85,1030,37
2019-01-06,09,8,12,0.0,69,1030,79
2019-01-06,12,9,8,0.0,67,1029,81
2019-01-06,15,9,6,0.0,65,1029,84
2019-01-06,18,9,9,0.0,68,1030,77
2019-01-06,21,7,10,0.0,74,1030,63
2019-01-07,00,7,9,0.0,74,1029,42
2019-01-07,03,6,8,0.0,72,1029,39
2019-01-07,06,6,8,0.0,69,1029,44
2019-01-07,09,9,10,0.0,70,1028,100
2019-01-07,12,8,12,0.0,75,1027,100
2019-01-07,15,8,11,0.6,82,1027,100
2019-01-07,18,8,11,0.5,84,1028,100
2019-01-07,21,8,11,0.3,83,1029,100
2019-01-08,00,7,10,0.1,84,1029,100
2019-01-08,03,7,11,0.1,81,1030,100
2019-01-08,06,7,12,0.0,77,1031,100
2019-01-08,09,7,13,0.0,69,1032,80
2019-01-08,12,9,15,0.0,57,1032,95
2019-01-08,15,8,16,0.0,58,1032,68
2019-01-08,18,7,16,0.0,62,1033,43
2019-01-08,21,7,15,0.0,65,1034,93
2019-01-09,00,7,14,0.0,66,1034,93
2019-01-09,03,6,13,0.0,65,1034,84
2019-01-09,06,7,12,0.0,71,1034,100
2019-01-09,09,7,12,0.1,74,1034,100
2019-01-09,12,7,13,0.2,75,1031,100
2019-01-09,15,6,13,0.5,78,1030,100
2019-01-09,18,7,13,0.4,80,1029,100
2019-01-09,21,7,11,0.2,83,1029,100
2019-01-10,00,7,9,0.2,86,1027,100
2019-01-10,03,7,8,0.1,88,1027,100
2019-01-10,06,7,8,0.2,89,1028,100
2019-01-10,09,8,7,0.0,79,1028,100
2019-01-10,12,9,6,0.0,75,1026,100
2019-01-10,15,9,6,0.0,78,1026,100
2019-01-10,18,9,8,0.0,81,1027,100
2019-01-10,21,8,9,0.1,83,1027,100
2019-01-11,00,8,8,0.9,86,1026,100
2019-01-11,03,9,7,1.5,87,1026,100
2019-01-11,06,9,8,0.4,87,1025,100
2019-01-11,09,10,10,0.0,86,1024,100
2019-01-11,12,10,13,0.0,87,1022,100
2019-01-11,15,10,9,0.4,90,1022,100
2019-01-11,18,10,5,1.0,92,1022,100
2019-01-11,21,9,6,0.2,91,1023,100
2019-01-12,00,7,15,0.3,88,1023,100
2019-01-12,03,7,17,0.0,83,1024,77
2019-01-12,06,6,17,0.0,81,1025,65
2019-01-12,09,7,16,0.0,70,1026,57
2019-01-12,12,8,14,0.0,64,1025,77
2019-01-12,15,8,13,0.0,66,1026,82
2019-01-12,18,7,11,0.0,68,1027,89
2019-01-12,21,7,8,0.0,68,1028,70
2019-01-13,00,6,5,0.0,73,1027,22
2019-01-13,03,6,6,0.0,76,1027,27
2019-01-13,06,6,8,0.0,77,1028,31
2019-01-13,09,6,8,0.0,62,1028,59
2019-01-13,12,8,8,0.0,54,1027,41
2019-01-13,15,9,9,0.0,62,1027,81
2019-01-13,18,8,9,0.0,66,1028,50
2019-01-13,21,6,8,0.0,74,1028,24
2019-01-14,00,5,5,0.0,79,1027,30
2019-01-14,03,5,5,0.0,81,1027,69
2019-01-14,06,6,5,0.0,75,1027,53
