date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2019-01-01,00,25,13,0.0,74,1011,11
2019-01-01,03,25,8,0.0,77,1011,7
2019-01-01,06,25,6,0.0,66,1011,17
2019-01-01,09,28,6,0.0,56,1011,14
2019-01-01,12,30,15,0.0,49,1010,8
2019-01-01,15,30,18,0.0,49,1009,12
2019-01-01,18,27,18,0.0,59,1011,15
2019-01-01,21,25,14,0.0,68,1012,16
2019-01-02,00,25,8,0.0,73,1011,9
2019-01-02,03,22,6,0.0,84,1011,12
2019-01-02,06,22,6,0.0,82,1012,9
2019-01-02,09,26,10,0.0,63,1011,9
2019-01-02,12,28,11,0.0,60,1010,13
2019-01-02,15,28,18,0.0,60,1009,13
2019-01-02,18,26,18,0.0,63,1010,17
2019-01-02,21,25,15,0.0,65,1011,16
2019-01-03,00,23,8,0.0,85,1012,15
2019-01-03,03,22,10,0.0,88,1012,29
2019-01-03,06,22,11,0.0,83,1013,36
2019-01-03,09,25,10,0.0,62,1013,24
2019-01-03,12,27,14,0.0,59,1012,10
2019-01-03,15,26,16,0.5,60,1012,74
2019-01-03,18,24,23,0.0,75,1013,20
2019-01-03,21,23,16,0.0,82,1014,17
2019-01-04,00,22,16,0.0,88,1013,13
2019-01-04,03,22,9,0.0,92,1013,36
2019-01-04,06,23,8,0.0,86,1014,24
2019-01-04,09,26,8,0.0,61,1013,6
2019-01-04,12,29,13,0.0,55,1011,3
2019-01-04,15,30,18,0.0,58,1009,2
2019-01-04,18,27,20,0.0,64,1010,4
2019-01-04,21,25,13,0.0,72,1011,7
2019-01-05,00,25,16,0.0,74,1009,9
2019-01-05,03,24,14,0.0,71,1008,6
2019-01-05,06,26,15,0.0,53,1009,4
2019-01-05,09,33,13,0.0,36,1008,4
2019-01-05,12,32,19,0.0,60,1008,12
2019-01-05,15,29,28,0.0,70,1008,13
2019-01-05,18,22,30,0.3,83,1010,63
2019-01-05,21,21,22,0.7,87,1012,97
2019-01-06,00,20,17,1.4,89,1013,100
2019-01-06,03,20,18,1.5,86,1013,100
2019-01-06,06,19,23,0.0,84,1015,100
2019-01-06,09,20,19,0.0,83,1017,100
2019-01-06,12,20,16,0.3,81,1018,100
2019-01-06,15,21,18,0.0,75,1018,100
2019-01-06,18,21,16,0.1,74,1019,90
2019-01-06,21,21,13,0.0,73,1020,79
2019-01-07,00,20,10,0.0,76,1019,81
2019-01-07,03,20,10,0.0,77,1019,95
2019-01-07,06,21,10,0.0,79,1020,100
2019-01-07,09,21,10,0.2,79,1020,100
2019-01-07,12,23,13,0.3,73,1019,100
2019-01-07,15,23,13,0.3,80,1017,100
2019-01-07,18,22,14,0.0,87,1017,88
2019-01-07,21,22,10,0.0,91,1017,80
2019-01-08,00,22,10,0.0,93,1015,51
2019-01-08,03,21,12,0.0,93,1015,51
2019-01-08,06,23,10,0.0,85,1015,23
2019-01-08,09,25,12,0.0,64,1014,15
2019-01-08,12,27,17,0.0,57,1011,21
2019-01-08,15,27,16,0.0,70,1010,44
2019-01-08,18,26,18,0.0,73,1011,13
2019-01-08,21,24,17,1.0,81,1011,82
2019-01-09,00,22,8,0.0,87,1011,20
2019-01-09,03,21,9,0.0,84,1010,16
2019-01-09,06,22,9,0.0,71,1012,32
2019-01-09,09,26,12,0.0,56,1012,15
2019-01-09,12,27,18,0.0,66,1011,11
2019-01-09,15,25,27,0.0,76,1012,62
2019-01-09,18,23,21,0.0,81,1014,94
2019-01-09,21,22,17,0.0,83,1016,98
2019-01-10,00,22,17,0.0,87,1015,73
2019-01-10,03,22,15,0.0,88,1015,79
2019-01-10,06,21,17,0.0,86,1017,93
2019-01-10,09,22,17,0.2,87,1018,94
2019-01-10,12,22,19,0.0,82,1017,99
2019-01-10,15,23,19,0.0,83,1017,95
2019-01-10,18,21,18,0.0,88,1018,100
2019-01-10,21,22,14,0.6,92,1019,100
2019-01-11,00,22,13,0.0,92,1018,77
2019-01-11,03,21,12,0.0,93,1018,52
2019-01-11,06,22,8,0.0,86,1019,37
2019-01-11,09,25,5,0.3,65,1018,80
2019-01-11,12,26,8,0.0,63,1017,9
2019-01-11,15,27,18,0.0,68,1015,7
2019-01-11,18,24,17,0.0,79,1017,12
2019-01-11,21,24,13,0.9,84,1018,77
2019-01-12,00,23,15,0.0,89,1016,21
2019-01-12,03,22,13,0.0,90,1016,23
2019-01-12,06,22,11,0.0,83,1016,7
2019-01-12,09,27,5,0.0,60,1016,0
2019-01-12,12,30,7,0.0,53,1015,0
2019-01-12,15,30,14,0.0,58,1014,1
2019-01-12,18,27,18,0.0,66,1016,0
2019-01-12,21,26,10,0.0,71,1017,3
2019-01-13,00,24,8,0.0,73,1017,3
2019-01-13,03,22,10,0.0,79,1017,3
2019-01-13,06,23,18,0.0,80,1019,57
2019-01-13,09,24,23,0.0,71,1019,42
2019-01-13,12,24,23,0.0,76,1020,44
2019-01-13,15,24,21,0.0,82,1019,46
2019-01-13,18,23,16,0.0,87,1020,46
2019-01-13,21,23,10,0.0,89,1020,55
2019-01-14,00,23,4,0.0,89,1019,58
2019-01-14,03,22,4,0.0,90,1018,46
2019-01-14,06,24,9,0.0,80,1019,51
2019-01-14,09,25,9,0.0,65,1018,11
2019-01-14,12,28,18,0.0,59,1016,6
2019-01-14,15,27,21,0.0,63,1014,4
2019-01-14,18,25,27,0.0,71,1014,4
2019-01-14,21,24,19,0.0,76,1015,6
2019-01-15,00,23,14,0.0,82,1014,7
2019-01-15,03,23,12,0.0,86,1014,7
2019-01-15,06,24,11,0.0,82,1014,14
2019-01-15,09,26,11,0.0,63,1013,5
2019-01-15,12,30,15,0.0,59,1011,4
2019-01-15,15,30,21,0.0,62,1009,3
2019-01-15,18,26,24,0.0,71,1010,0
2019-01-15,21,25,20,0.0,77,1010,0
2019-01-16,00,24,14,0.0,82,1010,6
2019-01-16,03,23,13,0.0,88,1009,7
2019-01-16,06,24,8,0.0,78,1010,7
2019-01-16,09,28,6,0.0,59,1010,5
2019-01-16,12,31,10,0.0,53,1010,2
2019-01-16,15,30,13,0.0,61,1009,0
2019-01-16,18,27,19,0.0,72,1010,0
2019-01-16,21,27,11,0.0,79,1012,0
2019-01-17,00,25,12,0.0,85,1012,2
2019-01-17,03,24,7,0.0,91,1013,26
2019-01-17,06,25,10,0.0,78,1013,0
2019-01-17,09,28,8,0.0,56,1012,0
2019-01-17,12,31,13,0.0,49,1010,0
2019-01-17,15,31,21,0.0,53,1008,3
2019-01-17,18,27,23,0.0,62,1009,4
2019-01-17,21,26,22,0.0,70,1010,4
2019-01-18,00,25,9,0.0,80,1011,2
2019-01-18,03,24,10,0.0,89,1011,10
2019-01-18,06,25,12,0.0,81,1013,38
2019-01-18,09,27,13,0.0,61,1012,0
2019-01-18,12,31,10,0.0,47,1010,0
2019-01-18,15,32,14,0.0,52,1007,0
2019-01-18,18,29,22,0.0,60,1008,0
2019-01-18,21,28,19,0.0,60,1010,4
2019-01-19,00,28,19,0.0,80,1011,5
2019-01-19,03,25,17,0.0,85,1012,7
2019-01-19,06,25,13,0.0,83,1014,35
2019-01-19,09,25,15,0.0,74,1016,60
2019-01-19,12,25,27,0.0,70,1018,47
2019-01-19,15,23,27,0.0,77,1018,62
2019-01-19,18,22,21,0.0,78,1020,100
2019-01-19,21,22,17,0.0,77,1021,74
2019-01-20,00,22,13,0.0,79,1020,83
2019-01-20,03,22,10,0.0,78,1020,81
2019-01-20,06,22,8,0.0,76,1021,88
2019-01-20,09,23,10,0.0,68,1020,91
2019-01-20,12,24,10,0.0,72,1019,84
2019-01-20,15,26,14,0.0,67,1018,44
2019-01-20,18,24,16,0.0,82,1018,77
2019-01-20,21,23,12,0.0,87,1019,100
2019-01-21,00,23,9,0.0,88,1020,92
2019-01-21,03,23,6,0.0,89,1018,91
2019-01-21,06,23,13,0.0,90,1018,94
2019-01-21,09,24,13,1.3,88,1019,98
2019-01-21,12,25,12,0.2,83,1018,83
2019-01-21,15,26,13,0.0,80,1017,100
2019-01-21,18,24,14,0.0,86,1017,60
2019-01-21,21,23,10,0.0,89,1017,62
2019-01-22,00,23,8,0.0,90,1016,22
2019-01-22,03,23,10,0.0,91,1015,18
2019-01-22,06,24,6,0.0,84,1016,16
2019-01-22,09,27,7,0.0,65,1015,5
2019-01-22,12,30,10,0.0,56,1013,3
2019-01-22,15,30,14,0.0,61,1012,3
2019-01-22,18,26,22,0.0,75,1012,6
2019-01-22,21,25,15,0.0,82,1012,14
2019-01-23,00,25,8,0.0,84,1011,6
2019-01-23,03,25,9,0.0,84,1011,7
2019-01-23,06,25,5,0.0,82,1012,16
2019-01-23,09,28,12,0.0,60,1012,18
2019-01-23,12,28,25,0.0,62,1011,11
2019-01-23,15,26,33,0.0,65,1012,6
2019-01-23,18,24,28,0.0,73,1015,5
2019-01-23,21,23,21,0.0,79,1016,41
2019-01-24,00,22,18,0.0,87,1015,88
2019-01-24,03,22,19,0.0,88,1015,90
2019-01-24,06,22,17,0.0,86,1017,89
2019-01-24,09,25,18,0.0,75,1017,91
2019-01-24,12,25,14,0.0,76,1016,81
2019-01-24,15,26,18,0.0,73,1014,42
2019-01-24,18,24,15,0.2,86,1016,79
2019-01-24,21,24,9,0.0,90,1016,59
2019-01-25,00,25,3,0.0,89,1016,49
2019-01-25,03,23,3,0.0,93,1015,32
2019-01-25,06,24,8,0.0,86,1014,40
2019-01-25,09,27,12,0.0,67,1014,0
2019-01-25,12,31,13,0.0,58,1011,0
2019-01-25,15,30,18,0.0,64,1009,0
2019-01-25,18,28,20,0.0,75,1009,1
