date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2019-01-01,00,4,9,0.0,46,1028,8
2019-01-01,03,4,9,0.0,47,1027,5
2019-01-01,06,4,9,0.0,49,1026,0
2019-01-01,09,6,10,0.0,41,1026,0
2019-01-01,12,10,8,0.0,29,1024,0
2019-01-01,15,12,12,0.0,31,1022,0
2019-01-01,18,11,9,0.0,41,1022,0
2019-01-01,21,8,3,0.0,41,1022,3
2019-01-02,00,5,9,0.0,41,1020,5
2019-01-02,03,4,12,0.0,46,1019,7
2019-01-02,06,3,11,0.0,51,1021,11
2019-01-02,09,6,12,0.0,49,1022,11
2019-01-02,12,10,24,0.0,29,1022,5
2019-01-02,15,10,20,0.0,27,1021,9
2019-01-02,18,7,17,0.0,31,1023,25
2019-01-02,21,6,15,0.0,35,1024,30
2019-01-03,00,4,10,0.0,39,1023,31
2019-01-03,03,4,9,0.0,43,1023,26
2019-01-03,06,3,10,0.0,45,1022,6
2019-01-03,09,6,12,0.0,37,1023,8
2019-01-03,12,9,15,0.0,28,1023,8
2019-01-03,15,9,25,0.0,28,1023,16
2019-01-03,18,6,24,0.0,32,1025,5
2019-01-03,21,5,22,0.0,35,1027,2
2019-01-04,00,5,16,0.0,37,1028,0
2019-01-04,03,4,12,0.0,40,1029,0
2019-01-04,06,4,9,0.0,41,1030,0
2019-01-04,09,7,7,0.0,37,1030,0
2019-01-04,12,10,4,0.0,33,1028,2
2019-01-04,15,11,13,0.0,40,1026,2
2019-01-04,18,9,15,0.0,56,1026,5
2019-01-04,21,7,7,0.0,58,1024,32
2019-01-05,00,6,8,0.0,53,1021,24
2019-01-05,03,5,7,0.0,47,1019,9
2019-01-05,06,4,7,0.0,44,1016,5
2019-01-05,09,7,8,0.0,39,1015,10
2019-01-05,12,13,9,0.0,37,1013,6
2019-01-05,15,14,11,0.0,36,1012,11
2019-01-05,18,11,16,0.0,39,1013,9
2019-01-05,21,8,23,0.0,42,1015,7
2019-01-06,00,6,25,0.0,42,1017,6
2019-01-06,03,5,21,0.0,41,1018,5
2019-01-06,06,4,17,0.0,40,1018,8
2019-01-06,09,4,14,0.0,38,1019,23
2019-01-06,12,5,13,0.0,33,1019,26
2019-01-06,15,6,13,0.0,29,1018,34
2019-01-06,18,6,6,0.0,29,1020,60
2019-01-06,21,5,9,0.0,30,1020,44
2019-01-07,00,4,10,0.0,40,1020,6
2019-01-07,03,4,13,0.0,42,1020,5
2019-01-07,06,3,8,0.0,44,1020,4
2019-01-07,09,6,18,0.0,38,1021,4
2019-01-07,12,9,19,0.0,29,1019,2
2019-01-07,15,10,12,0.0,26,1019,9
2019-01-07,18,8,15,0.0,28,1021,15
2019-01-07,21,5,11,0.0,35,1021,18
2019-01-08,00,6,10,0.0,49,1021,14
2019-01-08,03,4,6,0.0,54,1020,21
2019-01-08,06,3,5,0.0,55,1019,12
2019-01-08,09,6,3,0.0,49,1019,4
2019-01-08,12,10,7,0.0,42,1016,3
2019-01-08,15,12,12,0.0,37,1014,4
2019-01-08,18,10,2,0.0,42,1014,3
2019-01-08,21,7,10,0.0,45,1013,4
2019-01-09,00,5,4,0.0,47,1013,20
2019-01-09,03,3,10,0.0,54,1014,42
2019-01-09,06,4,22,0.0,47,1017,44
2019-01-09,09,4,27,0.0,36,1021,11
2019-01-09,12,7,36,0.0,28,1022,5
2019-01-09,15,8,32,0.0,25,1023,0
2019-01-09,18,6,21,0.0,26,1025,0
2019-01-09,21,5,10,0.0,30,1026,0
2019-01-10,00,6,3,0.0,36,1026,0
2019-01-10,03,5,4,0.0,38,1024,0
2019-01-10,06,2,7,0.0,39,1023,2
2019-01-10,09,4,7,0.0,38,1022,30
2019-01-10,12,8,6,0.0,38,1018,46
2019-01-10,15,10,6,0.0,32,1016,7
2019-01-10,18,7,9,0.0,35,1015,8
2019-01-10,21,5,8,0.0,38,1015,4
2019-01-11,00,5,4,0.0,36,1015,4
2019-01-11,03,5,4,0.0,38,1015,6
2019-01-11,06,4,7,0.0,46,1016,5
2019-01-11,09,7,17,0.0,42,1018,0
2019-01-11,12,13,24,0.0,26,1018,0
2019-01-11,15,12,24,0.0,25,1019,3
2019-01-11,18,9,20,0.0,31,1020,8
2019-01-11,21,6,13,0.0,39,1022,30
2019-01-12,00,5,11,0.0,48,1023,17
2019-01-12,03,4,9,0.0,51,1022,47
2019-01-12,06,4,11,0.0,49,1021,59
2019-01-12,09,4,12,0.0,48,1020,69
2019-01-12,12,6,14,0.2,49,1018,59
2019-01-12,15,7,13,0.2,56,1017,77
2019-01-12,18,7,12,0.5,67,1017,52
2019-01-12,21,6,15,0.0,68,1017,100
2019-01-13,00,6,15,0.0,60,1018,34
2019-01-13,03,5,18,0.0,55,1018,53
2019-01-13,06,5,19,0.0,56,1018,17
2019-01-13,09,6,15,0.0,53,1019,8
2019-01-13,12,9,16,0.0,42,1018,2
2019-01-13,15,10,17,0.0,32,1018,3
2019-01-13,18,8,10,0.0,37,1019,7
2019-01-13,21,6,10,0.0,46,1021,12
2019-01-14,00,5,14,0.0,54,1021,17
2019-01-14,03,3,14,0.0,57,1022,20
2019-01-14,06,3,14,0.0,59,1022,14
2019-01-14,09,5,14,0.0,52,1023,10
2019-01-14,12,8,14,0.0,41,1022,3
2019-01-14,15,9,14,0.0,34,1022,6
2019-01-14,18,8,5,0.0,33,1024,9
